"filename","samp_type","cruise","station","cast","depth","abs_depth","rosette","tripl","id","untripl","date_run","timestamp","time","lat","lon","DCM_depth","sla","local_hour","temp","sal","theta","dic","alk","ph","oxy_um","PAR","PAR_perc","no23_um","po4_um","DON_um","DOP_um","si_um","PC_um","PN_um","chl_ug","phaeo_ug","beam_atten","het_abund","pro_abund","syn_abund","euk_abund"
"180205_Smp_L1C33DCM_A.mzML","Smp","MC","L1",33,"DCM",103.5,16,"A","L1C33DCM_A","180205_Smp_L1C33DCM",2018-02-05,2018-02-06 13:41:22,2017-07-07 18:37:12,24.6968333333333,-158.6675,104,-0.1322,8,18.3955,34.929,18.3775,2020.8,2332,8.054,227.035294117647,0.6278308,1.245833,0,0.0951851759899318,NA,0.131791002183663,2.8633995414366,2.26349063312005,0.362995968882057,0.252677777777778,0.478472222222222,0.0472212121212121,4.80963888888889,0.882027777777778,0.00847222222222222,0.03275
"180205_Smp_L1C33DCMplus20m_A.mzML","Smp","MC","L1",33,"DCMplus20m",124.4,8,"A","L1C33DCM+20m_A","180205_Smp_L1C33DCMplus20m",2018-02-05,2018-02-06 14:31:51,2017-07-07 18:37:12,24.6968333333333,-158.6675,104,-0.1322,8,16.7335,34.724,16.713,2020.8,2332,8.054,211.667647058824,0.200609316666666,0.398,2.5654262202552,0.270650268152178,NA,0.104732324330163,4.30362661989631,1.90402885046279,0.320215474346455,0.1022,0.3561,0.034725,2.025,0.233,0,0.011
"180205_Smp_L2C1DCMless10m_A.mzML","Smp","MC","L2",1,"DCMless10m",113,NA,"A","L2C1DCM-10m_A","180205_Smp_L2C1DCMless10m",2018-02-05,2018-02-06 15:22:21,2017-07-08 18:00:09,26.5011666666667,-158.440333333333,123,0.2514,8,22.231,35.207,22.208,2003.7,2319,8.059,214.695190380762,0.249646,0.4996667,0,0.0781626093487516,NA,0.139232905658047,1.21415229319787,2.22698668898027,0.327876014190633,0.2134,0.6017,0.0355,4.396,1.223,0.002,0.016
"180205_Poo_TruePoo_Half2.mzML","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-06 19:34:55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180205_Poo_TruePoo_Full2.mzML","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-06 20:25:24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180205_Smp_L1C33DCM_B.mzML","Smp","MC","L1",33,"DCM",103.7,17,"B","L1C33DCM_B","180205_Smp_L1C33DCM",2018-02-05,2018-02-06 23:47:28,2017-07-07 18:37:12,24.6968333333333,-158.6675,104,-0.1322,8,18.2795,34.9175,18.2615,2020.8,2332,8.054,226.888235294118,0.6216465,1.2335,0,0.0928044876336868,NA,0.131960904578704,2.8435231533992,2.25305374542525,0.363173256290547,0.248366666666667,0.458083333333333,0.0487924242424242,4.77458333333333,0.920416666666667,0.00908333333333334,0.03125
"180205_Smp_L2C2DCMplus10m_B.mzML","Smp","MC","L2",2,"DCMplus10m",133,NA,"B","L2C2DCM+10m_B","180205_Smp_L2C2DCMplus10m",2018-02-05,2018-02-07 01:28:28,2017-07-08 19:26:50,26.4993333333333,-158.4395,123,0.2513,9,21.222,35.256,21.196,2003.7,2319,8.059,214.028110599078,0.08934917,0.1783333,0.118475231099638,0.0653435760274332,NA,0.136875475666732,1.34956911041059,1.67803215319894,0.300175925283776,0.1818,0.4703,0.0313818181818182,3.718,0.421,0.001,0.015
"180205_Smp_L2C1DCMless10m_B.mzML","Smp","MC","L2",1,"DCMless10m",113,NA,"B","L2C1DCM-10m_B","180205_Smp_L2C1DCMless10m",2018-02-05,2018-02-07 02:18:56,2017-07-08 18:00:09,26.5011666666667,-158.440333333333,123,0.2514,8,22.231,35.207,22.208,2003.7,2319,8.059,214.695190380762,0.249646,0.4996667,0,0.0781626093487516,NA,0.139232905658047,1.21415229319787,2.22698668898027,0.327876014190633,0.2134,0.6017,0.0355,4.396,1.223,0.002,0.016
"180205_Smp_L1C32DCMless10m_B.mzML","Smp","MC","L1",32,"DCMless10m",98,13,"B","L1C32DCM-10m_B","180205_Smp_L1C32DCMless10m",2018-02-05,2018-02-07 04:50:29,2017-07-07 17:04:08,24.6976666666667,-158.669666666667,108,-0.1322,7,17.91,34.872,17.8935,2020.8,2332,8.054,230.025855513308,0.80154,1.59,0,0.0736417755355461,NA,0.128917002140506,3.16409461782246,2.20079735023141,0.37310645250507,0.18972,0.29492,0.051450755287009,4.6858,1.3244,0.013,0.0198
"180205_Smp_L2C1DCMless20m_B.mzML","Smp","MC","L2",1,"DCMless20m",103,NA,"B","L2C1DCM-20m_B","180205_Smp_L2C1DCMless20m",2018-02-05,2018-02-07 05:40:57,2017-07-08 18:00:09,26.5011666666667,-158.440333333333,123,0.2514,8,22.533,35.201,22.512,2003.7,2319,8.059,215.87755511022,0.466321,0.9363333,0,0.0774419827724938,NA,0.143927607473825,1.12293756915081,2.14592966151194,0.321379673746951,0.2324,0.4592,0.0356651515151515,4.435,1.917,0.008,0.012
"180205_Smp_L1C33DCMplus20m_B.mzML","Smp","MC","L1",33,"DCMplus20m",124.3,7,"B","L1C33DCM+20m_B","180205_Smp_L1C33DCMplus20m",2018-02-05,2018-02-07 07:21:59,2017-07-07 18:37:12,24.6968333333333,-158.6675,104,-0.1322,8,17.217,34.788,17.196,2020.8,2332,8.054,211.741176470588,0.2017112,0.4001667,2.55704127640483,0.270176753316119,NA,0.104673730265549,4.29119802094308,1.91552488571122,0.321595187531347,0.104903703703704,0.360688888888889,0.041855,2.05055555555556,0.238555555555556,1.85185185185201e-05,0.0113518518518519
"180205_Smp_L1C32DCMless20m_B.mzML","Smp","MC","L1",32,"DCMless20m",88.5,18,"B","L1C32DCM-20m_B","180205_Smp_L1C32DCMless20m",2018-02-05,2018-02-07 08:12:29,2017-07-07 17:04:08,24.6976666666667,-158.669666666667,108,-0.1322,7,19.042,34.984,19.026,2020.8,2332,8.054,233.782509505703,1.190775,2.3625,0,0.0496012798398687,NA,0.136361349358166,3.77478539754067,2.563725460024,0.417245915879815,0.16616,0.18553,0.0410833836858006,4.4523,1.6673,0.0133,0.0144
