Compound,Sample,Mean Concentration (nM),Standard Deviation of Concentration (nM),Mean Concentration C (nM C),Standard Deviation of Concentration C (nM C),Mean Concentration N (nM N),Standard Deviation of Concentration N (nM N)
N(e)-Acetyl-Lysine,Aloha,0.08516443507414292,0.01839487318644333,0.6813154805931434,0.14715898549154663,0.17032887014828585,0.03678974637288666
N(e)-Acetyl-Lysine,LW,0.04909788443878975,0.022505040618637288,0.39278307551031805,0.18004032494909827,0.09819576887757951,0.04501008123727457
N(e)-Acetyl-Lysine,PS,0.02749992981448755,0.009386481018282752,0.21999943851590043,0.07509184814626199,0.054999859628975106,0.018772962036565498
Ornithine,Aloha,8.270507555484313,0.5150509861223577,41.35253777742157,2.5752549306117873,16.541015110968626,1.0301019722447153
Sarcosine,Aloha,0.917040634687895,0.29864158653409245,2.751121904063685,0.8959247596022774,0.917040634687895,0.29864158653409245
Sarcosine,NP,1.1631301511690535,0.3751656760595224,3.4893904535071605,1.1254970281785672,1.1631301511690535,0.3751656760595224
Serine,Aloha,13.515349489675632,5.030648631640047,40.54604846902689,15.091945894920142,13.515349489675632,5.030648631640047
Serine,LW,16.55227538731305,3.7288484854027706,49.656826161939144,11.186545456208314,16.55227538731305,3.7288484854027706
Stachydrine hydrochloride,Aloha,0.14263965156810368,0.008105678619814703,0.9984775609767258,0.05673975033870282,0.14263965156810368,0.008105678619814703
Stachydrine hydrochloride,PS,0.049942859269627535,0.0065068386110087376,0.34960001488739273,0.04554787027706114,0.049942859269627535,0.0065068386110087376
trans Hydroxyl proline,PS,0.12438127476989759,0.043278419288159085,0.6219063738494879,0.21639209644079538,0.12438127476989759,0.043278419288159085
Trigonelline,Aloha,0.9684408136122111,0.11173030040032515,6.779085695285478,0.7821121028022759,0.9684408136122111,0.11173030040032515
Trigonelline,LW,0.13221651612721413,0.05511407629636835,0.9255156128904989,0.3857985340745784,0.13221651612721413,0.05511407629636835
Trigonelline,NP,0.2061773606431409,0.05264855228457377,1.4432415245019863,0.3685398659920164,0.2061773606431409,0.05264855228457377
Trigonelline,PS,0.18734882973845338,0.02228604442798989,1.3114418081691737,0.15600231099592934,0.18734882973845338,0.02228604442798989
